operation,predecessor_operations,processing_time,machine,workcenter,due_date,end_product
J.118,['J.117'],1,M1,WC#1,,
J.119,['J.118'],1,M1,WC#3,,
J.120,['J.119'],18,M1,WC#3,,
J.121,['J.120'],1,M1,WC#3,,
J.122,['J.121'],1,M1,WC#3,,
J.123,['J.122'],2,M1,WC#1,,
J.124,[],2,M1,WC#1,,
J.125,"['J.123', 'J.124']",7,M1,WC#1,,
J.126,['J.125'],30,M1,WC#1,,
J.127,['J.126'],19,M1,WC#3,,
J.128,['J.127'],5,M1,WC#2,,
J.129,['J.128'],13,M1,WC#2,,
J.130,['J.129'],4,M1,WC#2,,
J.131,['J.130'],9,M1,WC#1,,
J.132,['J.131'],6,M1,WC#3,,
J.133,['J.132'],1,M1,WC#1,,
J.134,['J.133'],21,M1,WC#1,,
J.135,['J.134'],3,M1,WC#2,,
J.136,['J.135'],12,M1,WC#2,,
J.137,['J.136'],11,M1,WC#3,,
J.138,[],13,M1,WC#1,,
J.139,"['J.137', 'J.138']",6,M1,WC#1,,
J.140,['J.139'],1,M1,WC#3,,
J.141,['J.140'],5,M1,WC#1,,
J.142,['J.141'],4,M1,WC#3,,
J.143,['J.142'],11,M1,WC#2,,
J.144,['J.143'],15,M1,WC#2,,
J.145,['J.144'],4,M1,WC#2,,
J.146,['J.145'],2,M1,WC#3,,
J.147,['J.146'],3,M1,WC#1,,
J.148,['J.147'],2,M1,WC#1,,
J.149,['J.148'],4,M1,WC#1,,
J.150,['J.149'],1,M1,WC#1,,
J.151,['J.150'],69,M1,WC#3,,
J.152,['J.151'],15,M1,WC#2,,
J.153,['J.152'],9,M1,WC#2,,
J.154,['J.153'],3,M1,WC#1,,
J.155,['J.154'],22,M1,WC#3,,
J.156,['J.155'],6,M1,WC#2,,
J.157,['J.156'],3,M1,WC#2,,
J.158,['J.157'],5,M1,WC#1,,
J.159,['J.158'],9,M1,WC#2,,
J.160,['J.159'],2,M1,WC#1,,
J.161,['J.160'],4,M1,WC#2,,
J.162,['J.161'],6,M1,WC#1,,
J.163,['J.162'],1,M1,WC#2,,
J.164,[],1,M1,WC#3,,
J.165,"['J.163', 'J.164']",1,M1,WC#3,,
J.166,['J.165'],1,M1,WC#2,,
J.167,['J.166'],6,M1,WC#2,,
J.168,['J.167'],1,M1,WC#3,,
J.169,['J.168'],1,M1,WC#2,,
J.170,['J.169'],6,M1,WC#2,,
J.171,['J.170'],4,M1,WC#2,,
J.172,['J.171'],3,M1,WC#1,,
J.173,['J.172'],18,M1,WC#1,,
J.174,['J.173'],1,M1,WC#3,,
J.175,['J.174'],4,M1,WC#1,,
J.176,['J.175'],6,M1,WC#3,,
J.177,['J.176'],2,M1,WC#1,,
J.178,[],8,M1,WC#2,,
J.179,"['J.177', 'J.178']",106,M1,WC#3,,
J.180,['J.179'],6,M1,WC#1,,
J.181,['J.180'],8,M1,WC#2,,
J.182,[],2,M1,WC#3,,
J.183,"['J.181', 'J.182']",1,M1,WC#2,,
J.184,['J.183'],9,M1,WC#3,,
J.185,['J.184'],2,M1,WC#1,,
J.186,[],4,M1,WC#1,,
J.187,"['J.185', 'J.186']",5,M1,WC#3,,
J.188,['J.187'],5,M1,WC#3,,
J.189,['J.188'],1,M1,WC#2,,
J.190,['J.189'],13,M1,WC#2,,
J.191,['J.190'],2,M1,WC#3,,
J.192,['J.191'],1,M1,WC#2,,
J.193,['J.192'],1,M1,WC#3,,
J.194,['J.193'],21,M1,WC#3,,
J.195,['J.194'],10,M1,WC#1,,
J.196,['J.195'],1,M1,WC#3,,
J.197,['J.196'],7,M1,WC#1,,
J.198,['J.197'],21,M1,WC#1,,
J.199,['J.198'],1,M1,WC#1,,
J.200,['J.199'],1,M1,WC#2,291,1.0
