operation,predecessor_operations,processing_time,machine,workcenter,due_date,end_product
J.188,[],1,M1,WC#2,,
J.189,['J.186'],1,M1,WC#3,,
J.190,"['J.187', 'J.189']",1,M1,WC#2,,
J.191,['J.188'],1,M1,WC#1,,
J.192,[],1,M1,WC#1,,
J.193,"['J.190', 'J.191']",1,M1,WC#1,,
J.194,['J.192'],1,M1,WC#3,,
J.195,"['J.193', 'J.194']",1,M1,WC#3,,
J.196,['J.195'],1,M1,WC#3,,
J.197,['J.196'],1,M1,WC#3,,
J.198,['J.197'],1,M1,WC#3,,
J.199,['J.198'],1,M1,WC#3,,
J.200,['J.199'],1,M1,WC#2,47,1.0
